Pincode,Total_Waste,avg,City
700007,15184,51.71,Kolkata
400001,15043,46.65333333333333,Mumbai
411017,14971,53.96666666666667,Pune
700005,14926,53.91333333333333,Kolkata
400020,14851,48.80333333333333,Mumbai
700012,14836,48.71666666666667,Kolkata
411010,14833,53.57333333333334,Pune
400002,14831,48.333333333333336,Mumbai
110018,14824,46.63666666666666,Delhi
400004,14793,50.73333333333333,Mumbai
110010,14772,52.84333333333333,Delhi
560003,14748,47.85333333333333,Bangalore
600001,14743,42.46333333333333,Chennai
600002,14741,45.263333333333335,Chennai
500011,14740,51.91333333333333,Hyderabad
560001,14731,49.626666666666665,Bangalore
500015,14729,50.88,Hyderabad
600012,14718,55.17,Chennai
600010,14717,47.586666666666666,Chennai
700016,14711,51.03,Kolkata
600016,14694,54.580000000000005,Chennai
500012,14693,49.586666666666666,Hyderabad
560009,14691,52.37,Bangalore
600008,14682,51.52,Chennai
500013,14679,51.37,Hyderabad
110004,14675,51.39666666666667,Delhi
600004,14669,48.15333333333333,Chennai
400019,14661,49.60666666666667,Mumbai
500020,14660,53.98,Hyderabad
400010,14646,49.406666666666666,Mumbai
560011,14630,46.42333333333333,Bangalore
411009,14620,58.193333333333335,Pune
600011,14616,46.70333333333333,Chennai
411011,14612,52.75333333333333,Pune
110005,14608,49.50333333333333,Delhi
110016,14603,49.32,Delhi
110009,14602,50.236666666666665,Delhi
110011,14590,48.25666666666667,Delhi
500006,14588,48.79,Hyderabad
560010,14584,51.25,Bangalore
411008,14571,49.47,Pune
700001,14567,54.156666666666666,Kolkata
560004,14564,54.71,Bangalore
560019,14560,50.15,Bangalore
700010,14547,49.35,Kolkata
560006,14543,50.13333333333333,Bangalore
700018,14532,53.556666666666665,Kolkata
411020,14525,48.656666666666666,Pune
400016,14522,48.40333333333333,Mumbai
600009,14521,46.34333333333333,Chennai
500008,14505,52.94666666666667,Hyderabad
500019,14504,56.836666666666666,Hyderabad
400013,14495,49.2,Mumbai
700014,14493,48.46666666666667,Kolkata
411014,14485,49.623333333333335,Pune
700004,14482,47.07,Kolkata
600007,14477,50.71333333333334,Chennai
600014,14459,46.43333333333333,Chennai
500002,14458,48.54333333333333,Hyderabad
600017,14453,50.88,Chennai
411012,14446,50.736666666666665,Pune
500007,14443,51.89666666666667,Hyderabad
110003,14437,51.73333333333333,Delhi
700015,14433,49.31666666666667,Kolkata
500016,14428,50.53666666666666,Hyderabad
700002,14425,49.266666666666666,Kolkata
560015,14422,51.18666666666666,Bangalore
560014,14422,46.86,Bangalore
110008,14421,47.85,Delhi
560018,14409,46.67,Bangalore
500003,14404,52.31666666666667,Hyderabad
560020,14397,48.013333333333335,Bangalore
560002,14382,50.15,Bangalore
411015,14380,51.49666666666667,Pune
600019,14366,52.63666666666666,Chennai
110019,14356,46.693333333333335,Delhi
411013,14349,53.41666666666666,Pune
411018,14339,52.94666666666667,Pune
600006,14332,51.080000000000005,Chennai
400006,14331,50.53666666666666,Mumbai
500009,14330,49.06333333333334,Hyderabad
400012,14326,51.15333333333333,Mumbai
411004,14317,47.236666666666665,Pune
411007,14315,46.440000000000005,Pune
400018,14313,49.11333333333334,Mumbai
600005,14306,54.153333333333336,Chennai
110020,14300,49.083333333333336,Delhi
700020,14299,50.43333333333333,Kolkata
110012,14277,50.16333333333333,Delhi
560013,14264,44.68333333333333,Bangalore
110001,14253,45.85,Delhi
560005,14250,51.54,Bangalore
400015,14241,46.60333333333333,Mumbai
600013,14235,50.82666666666667,Chennai
500010,14223,50.57666666666667,Hyderabad
110014,14221,48.88333333333333,Delhi
560012,14213,47.00666666666667,Bangalore
400005,14211,53.96666666666667,Mumbai
400014,14209,51.11333333333334,Mumbai
411019,14198,50.9,Pune
110015,14194,51.12,Delhi
500004,14188,50.17333333333333,Hyderabad
400009,14188,49.10333333333334,Mumbai
411005,14184,49.836666666666666,Pune
400007,14175,53.99666666666667,Mumbai
700019,14141,47.82666666666667,Kolkata
110006,14135,46.66,Delhi
560017,14126,42.21666666666667,Bangalore
600018,14118,51.05333333333333,Chennai
411006,14114,51.37,Pune
700008,14100,50.50666666666667,Kolkata
560007,14098,44.01,Bangalore
500018,14093,51.85666666666667,Hyderabad
560008,14085,49.79333333333333,Bangalore
400003,14067,52.40333333333333,Mumbai
500014,14039,49.126666666666665,Hyderabad
400017,14036,50.91666666666666,Mumbai
700011,14014,50.22,Kolkata
560016,14000,48.09666666666667,Bangalore
411003,13995,57.06,Pune
400011,13986,48.79333333333333,Mumbai
411016,13964,49.79666666666667,Pune
700003,13955,51.36666666666667,Kolkata
110013,13930,52.20333333333333,Delhi
600020,13926,48.78,Chennai
700006,13906,52.370000000000005,Kolkata
700009,13891,57.15,Kolkata
110017,13890,46.74666666666667,Delhi
500001,13888,50.29666666666667,Hyderabad
700013,13888,49.70333333333333,Kolkata
110007,13866,47.11666666666667,Delhi
400008,13852,52.830000000000005,Mumbai
700017,13842,47.92333333333333,Kolkata
500005,13818,47.06,Hyderabad
411001,13811,49.77333333333333,Pune
500017,13802,53.00333333333333,Hyderabad
411002,13786,49.03666666666666,Pune
600003,13760,54.45666666666667,Chennai
110002,13713,45.9,Delhi
600015,13501,51.20333333333333,Chennai
