City,Pincode,Latitude,Longitude,Participation (%),,,,,,,
Hyderabad,500001,17.35372,78.472077,57.3,,,,,,,
Hyderabad,500001,17.413109,78.537675,37.3,,50.55708333,99.7,15.4,,,
Hyderabad,500001,17.414054,78.461319,40.3,,,,,,,
Hyderabad,500001,17.388867,78.469946,44.1,,,,,,,
Hyderabad,500001,17.396669,78.441645,42,,,,,,,
Hyderabad,500001,17.412732,78.459208,49.1,,,,,,,
Hyderabad,500001,17.436457,78.51097,55.1,,,,,,,
Hyderabad,500001,17.440246,78.505004,50.7,,,,,,,
Hyderabad,500001,17.339011,78.492557,57.1,,,,,,,
Hyderabad,500001,17.400247,78.485706,36.2,,,,,,,
Hyderabad,500001,17.445057,78.499053,38.9,,,,,,,
Hyderabad,500001,17.383525,78.465772,79.4,,,,,,,
Hyderabad,500001,17.370316,78.494136,46.2,,,,,,,
Hyderabad,500001,17.416235,78.508025,46.2,,,,,,,
Hyderabad,500001,17.352511,78.466678,65.4,,,,,,,
Hyderabad,500001,17.370913,78.459613,48.5,,,,,,,
Hyderabad,500001,17.40061,78.532031,54.3,,,,,,,
Hyderabad,500001,17.373628,78.504631,55.7,,,,,,,
Hyderabad,500001,17.418911,78.447204,37.5,,,,,,,
Hyderabad,500001,17.432201,78.513378,40.2,,,,,,,
Hyderabad,500001,17.344217,78.534687,66.5,,,,,,,
Hyderabad,500001,17.43253,78.494514,59.8,,,,,,,
Hyderabad,500001,17.356496,78.499883,49.9,,,,,,,
Hyderabad,500001,17.41273,78.488667,72.5,,,,,,,
Hyderabad,500001,17.349371,78.539469,57.2,,,,,,,
Hyderabad,500001,17.38564,78.431587,16.1,,,,,,,
Hyderabad,500001,17.341633,78.529893,41.8,,,,,,,
Hyderabad,500001,17.452402,78.478404,53.7,,,,,,,
Hyderabad,500001,17.402234,78.433351,58.6,,,,,,,
Hyderabad,500001,17.355623,78.531573,51.3,,,,,,,
Hyderabad,500002,17.398735,78.488875,53.8,,,,,,,
Hyderabad,500002,17.440764,78.501676,61.3,,,,,,,
Hyderabad,500002,17.353366,78.523784,39.4,,,,,,,
Hyderabad,500002,17.377071,78.44383,47.8,,,,,,,
Hyderabad,500002,17.450097,78.49213,53.8,,,,,,,
Hyderabad,500002,17.360764,78.490682,54.4,,,,,,,
Hyderabad,500002,17.364961,78.503446,27.3,,,,,,,
Hyderabad,500002,17.433575,78.502675,42.6,,,,,,,
Hyderabad,500002,17.386806,78.460103,55.9,,,,,,,
Hyderabad,500002,17.42241,78.510365,41.3,,,,,,,
Hyderabad,500002,17.401797,78.438717,24.9,,,,,,,
Hyderabad,500002,17.392808,78.452251,57.4,,,,,,,
Hyderabad,500002,17.356543,78.493934,59.6,,,,,,,
Hyderabad,500002,17.373897,78.518535,42.4,,,,,,,
Hyderabad,500002,17.407045,78.499602,77.5,,,,,,,
Hyderabad,500002,17.395855,78.495373,43,,,,,,,
Hyderabad,500002,17.369287,78.476768,40.8,,,,,,,
Hyderabad,500002,17.356386,78.454624,51.2,,,,,,,
Hyderabad,500002,17.371701,78.480324,49.3,,,,,,,
Hyderabad,500002,17.429178,78.442723,55.6,,,,,,,
Hyderabad,500002,17.360502,78.456498,22.7,,,,,,,
Hyderabad,500002,17.372992,78.460031,61.5,,,,,,,
Hyderabad,500002,17.345525,78.476454,47.1,,,,,,,
Hyderabad,500002,17.441059,78.503444,55.3,,,,,,,
